Date,GDP,GDP_L1
1961-01-01,39232435784.0358,37029883876.1839
1962-01-01,42161481858.0819,39232435784.0358
1963-01-01,48421923459.1235,42161481858.0819
1964-01-01,56480289940.9899,48421923459.1235
1965-01-01,59556105229.0052,56480289940.9899
1966-01-01,45581230504.071,59556105229.0052
1967-01-01,50134942204.0,45581230504.071
1968-01-01,53085455870.6667,50134942204.0
1969-01-01,58447995017.3333,53085455870.6667
1970-01-01,62422483054.6667,58447995017.3333
1971-01-01,67351404351.833,62422483054.6667
1972-01-01,71464700666.9869,67351404351.833
1973-01-01,85517673172.5513,71464700666.9869
1974-01-01,99526597933.6331,85517673172.5513
1975-01-01,98473832017.3242,99526597933.6331
1976-01-01,102716451979.68,98473832017.3242
1977-01-01,121486641441.309,102716451979.68
1978-01-01,137302319828.995,121486641441.309
1979-01-01,152995442497.709,137302319828.995
1980-01-01,186328579302.068,152995442497.709
1981-01-01,193491368445.573,186328579302.068
1982-01-01,200715624830.902,193491368445.573
1983-01-01,218262146413.158,200715624830.902
1984-01-01,212157645177.652,218262146413.158
1985-01-01,232511554840.372,212157645177.652
1986-01-01,248985994040.59,232511554840.372
1987-01-01,279033584092.223,248985994040.59
1988-01-01,296589670895.932,279033584092.223
1989-01-01,296042052944.66,296589670895.932
1990-01-01,320979026420.035,296042052944.66
1991-01-01,270105341879.226,320979026420.035
1992-01-01,288208070278.013,270105341879.226
1993-01-01,279295648982.529,288208070278.013
1994-01-01,327274843459.429,279295648982.529
1995-01-01,360281909643.489,327274843459.429
1996-01-01,392896866204.516,360281909643.489
1997-01-01,415867563592.829,392896866204.516
1998-01-01,421351317224.941,415867563592.829
1999-01-01,458821052615.79,421351317224.941
2000-01-01,468395521654.458,458821052615.79
2001-01-01,485440139204.171,468395521654.458
2002-01-01,514939140318.756,485440139204.171
2003-01-01,607700687237.318,514939140318.756
2004-01-01,709152728830.775,607700687237.318
2005-01-01,820383763511.445,709152728830.775
2006-01-01,940259888787.721,820383763511.445
2007-01-01,1216736438834.96,940259888787.721
2008-01-01,1198895139005.92,1216736438834.96
2009-01-01,1341888016994.9,1198895139005.92
2010-01-01,1675615519484.96,1341888016994.9
2011-01-01,1823051829894.55,1675615519484.96
2012-01-01,1827637590410.41,1823051829894.55
2013-01-01,1856721507621.58,1827637590410.41
2014-01-01,2039126479154.52,1856721507621.58
2015-01-01,2103588360044.94,2039126479154.52
2016-01-01,2294796885663.16,2103588360044.94
2017-01-01,2651474262755.45,2294796885663.16
2018-01-01,2702929641648.74,2651474262755.45
2019-01-01,2835606256558.19,2702929641648.74
2020-01-01,2674851578587.27,2835606256558.19
2021-01-01,3167270623260.47,2674851578587.27
2022-01-01,3346107287730.93,3167270623260.47
2023-01-01,3638489096033.86,3346107287730.93
2024-01-01,3912686168582.21,3638489096033.86
